ChampionName,GamesPlayed,Win,KDA,kills,deaths,assists,GoldPerMin,DmgPerMin
Kaisa,1828,0.5191466083150985,3.676352636240492,8.478118161925602,5.604485776805252,6.347921225382932,461.02899623834963,829.7144346235125
Caitlyn,1312,0.49009146341463417,2.977788725685492,7.165396341463414,6.125762195121951,5.960365853658536,436.66886387247126,817.5912424092903
Jinx,1100,0.5209090909090909,3.4417543845043848,6.6036363636363635,5.717272727272727,6.761818181818182,432.04560777676005,760.9604202369527
Sylas,1041,0.5091258405379443,3.9196353771641954,8.324687800192123,6.160422670509126,7.249759846301633,421.4452370743822,828.293113505221
Ashe,955,0.5099476439790576,3.305979538204669,6.018848167539267,6.436649214659686,8.99476439790576,407.109151234108,745.1007897875288
Diana,944,0.503177966101695,3.492738401252702,7.260593220338983,5.905720338983051,6.6599576271186445,441.40570182516797,752.578430461676
Smolder,925,0.49945945945945946,3.3615395383816438,6.951351351351351,5.915675675675676,6.7881081081081085,440.42467995728646,929.5545458459247
Morgana,869,0.5017261219792866,4.260106103460534,4.001150747986191,5.295742232451093,11.365937859608746,353.60858832950964,653.2762870621536
Nautilus,859,0.5180442374854481,3.514436922607378,2.1944121071012805,6.344586728754366,14.360884749708964,294.7469606003288,367.57381828182173
Lux,839,0.5232419547079857,3.408175118485011,4.860548271752086,5.959475566150179,10.03337306317044,346.9259467388762,698.1590025416302
Jax,828,0.5628019323671497,3.3825573111805,6.4480676328502415,5.483091787439614,5.666666666666667,424.6215172901073,735.8665238569516
Jhin,824,0.4550970873786408,3.984113489665674,7.315533980582524,5.252427184466019,7.536407766990291,425.88900808363724,729.2023095503383
Nami,823,0.5006075334143378,5.0215214278093985,1.5735115431348725,5.125151883353585,16.243013365735116,288.5408519485747,336.31733316615475
Zed,813,0.4218942189421894,3.1315818492017757,7.725707257072571,6.14760147601476,6.223862238622386,426.81569948281066,775.571850752728
Thresh,808,0.49133663366336633,3.728456457921674,2.2017326732673266,6.308168316831683,14.257425742574258,289.377653540977,336.4184208497555
Yasuo,803,0.5193026151930261,2.349938349240598,6.266500622665006,6.789539227895392,5.466998754669987,426.77326299718754,770.1680014658325
MissFortune,787,0.5590851334180432,3.4691172609834413,8.218551461245236,6.428208386277001,7.313850063532402,437.38577887177036,820.8572020320009
JarvanIV,774,0.4896640826873385,5.45990638703817,6.1214470284237725,5.310077519379845,12.527131782945736,421.35020326564546,595.0423564428262
LeeSin,766,0.5117493472584856,4.588739085834386,7.945169712793733,5.6592689295039165,8.546997389033942,430.8846998435141,669.5981184623676
Yunara,766,0.47389033942558745,3.0451693638686903,6.698433420365535,6.096605744125326,6.516971279373368,447.19347475223543,836.867694387689
Qiyana,759,0.49670619235836627,3.7600268857185855,8.338603425559947,6.176548089591567,6.938076416337286,449.5207698761603,770.8051364815141
Ezreal,744,0.4946236559139785,3.7554974856386143,6.853494623655914,5.379032258064516,6.883064516129032,423.55218773406125,926.6607874026234
Mel,744,0.4986559139784946,3.877308501069175,8.411290322580646,5.399193548387097,5.860215053763441,417.1777138621128,813.7165415253196
DrMundo,725,0.5448275862068965,3.6284205296619088,4.841379310344828,4.826206896551724,6.286896551724138,416.2236882556463,841.7263970671077
Viego,715,0.4727272727272727,3.803975240445829,8.892307692307693,6.12027972027972,6.26993006993007,444.29018142842693,670.1916793370385
Yone,682,0.4780058651026393,2.0632026982466862,5.391495601173021,6.841642228739003,5.068914956011731,412.72341640479027,776.8548898215205
Tristana,673,0.5794947994056464,3.388651123226335,8.37592867756315,5.985141158989599,5.564635958395245,462.7211657294062,845.6766064223233
Garen,672,0.5386904761904762,3.114214984750699,6.971726190476191,5.123511904761905,4.038690476190476,435.43017226126244,751.9217584171386
Syndra,667,0.5337331334332833,3.4348476694053907,6.31784107946027,5.3388305847076465,6.5952023988006,445.89198307637156,834.5822042133617
Vayne,664,0.5316265060240963,2.969136435853303,7.51355421686747,5.906626506024097,5.3102409638554215,422.36237767847945,801.5047310883037
Bard,656,0.5320121951219512,4.336977800316215,2.879573170731707,5.949695121951219,15.228658536585366,307.93566210762106,494.3361358452215
Sion,655,0.5786259541984733,2.93696112199929,4.325190839694656,5.8305343511450385,7.63206106870229,418.7189941255257,752.0947954269978
Akali,651,0.49615975422427033,3.4157458431651984,8.23195084485407,5.563748079877112,5.225806451612903,410.5870160363549,842.2015333734583
Milio,649,0.5192604006163328,5.977910439158513,1.0184899845916795,4.007704160246533,15.161787365177195,278.5503441197822,224.2584394092253
Lulu,635,0.5480314960629922,4.921210928179432,1.631496062992126,5.086614173228346,15.274015748031497,289.60507319580586,289.4480150459067
Orianna,616,0.4724025974025974,3.9979327175349906,5.422077922077922,5.0146103896103895,8.191558441558442,409.5020736895953,784.9022920305431
Ekko,592,0.4814189189189189,3.7205478314853315,7.891891891891892,5.445945945945946,6.048986486486487,437.5005262234746,733.5741333027636
Darius,572,0.4562937062937063,2.7429813248020776,6.888111888111888,5.776223776223776,4.136363636363637,412.245089088907,679.7520844481929
Karma,572,0.506993006993007,4.592868514546836,1.7325174825174825,5.129370629370629,14.1993006993007,296.11905330209726,384.734007623073
XinZhao,571,0.5183887915936952,3.878257547084167,6.243432574430823,5.572679509632224,8.280210157618214,411.7675667592861,681.6620537411957
Talon,562,0.505338078291815,3.9513145232294278,8.855871886120996,5.870106761565836,7.204626334519573,452.82070614257077,810.3584091037382
Aphelios,561,0.48663101604278075,2.6892578519426587,7.912655971479501,6.411764705882353,4.467023172905526,441.1932224807328,836.1112761742709
Leblanc,559,0.5241502683363148,4.593007027172553,7.78175313059034,4.658318425760286,6.416815742397138,411.3762041324735,806.6329358952788
Pyke,541,0.5175600739371534,3.004649606913932,6.532347504621072,7.33826247689464,10.01663585951941,340.7000203748386,436.65544899356667
Volibear,541,0.49722735674676527,3.8987983006929405,6.2199630314232905,5.900184842883549,7.4621072088724585,414.1533453407407,684.5830808792264
Mordekaiser,539,0.5473098330241187,3.383849360287208,7.150278293135436,5.417439703153989,4.816326530612245,414.5113097711459,847.6587980248701
Malphite,537,0.4934823091247672,4.205705565901097,5.232774674115456,4.921787709497207,7.8528864059590315,380.29686684792927,755.6962837221125
Pantheon,528,0.4810606060606061,3.060593558872302,7.009469696969697,6.958333333333333,7.8106060606060606,379.0924766325059,736.9142826243623
Ahri,524,0.5763358778625954,4.463380670245286,6.333969465648855,5.017175572519084,8.020992366412214,413.8398883103158,797.0092335740957
Katarina,521,0.5009596928982726,3.4265822957054395,9.460652591170826,6.383877159309021,5.72552783109405,438.4781792710849,876.3882719137628
Leona,521,0.5566218809980806,4.0246823879769575,1.9596928982725528,6.186180422264875,15.140115163147792,291.4369687404163,360.79351780719486
Lucian,515,0.5048543689320388,3.444266876596974,8.413592233009709,6.029126213592233,6.184466019417476,446.3466659109191,882.5162995362649
Sivir,511,0.5283757338551859,3.746838153149308,5.636007827788649,5.2641878669275926,8.054794520547945,442.26781747395654,812.2932795200807
