MinionsKilled,DmgDealt,DmgTaken,TurretDmgDealt,TotalGold,Win,item1,item2,item3,item4,item5,item6,kills,deaths,assists,PrimaryKeyStone,PrimarySlot1,PrimarySlot2,PrimarySlot3,SecondarySlot1,SecondarySlot2,SummonerSpell1,SummonerSpell2,CurrentMasteryPoints,DragonKills,BaronKills,visionScore,SummonerMatchId,ChampionFk,SummonerFk,GameDuration,KDA,GameDurationMin,GoldPerMin,CSPerMin,DmgPerMin,VisionPerMin,DmgPerGold,DmgEfficiency,ItemCount,ObjectiveParticipation,ChampionId,Lane,Role,GamePhase
255,23992,39786,7,16764,1,3047,3153,3139,3181,3091,0,12,6,0,8010,9111,9104,8299,8446,8444,4,12,39,0,0,14,98772,39,3611,1657,2.0,27.616666666666667,607.0247435123717,9.233554616777308,868.7507543753771,0.5069402534701267,1.4311620138391792,0.6030261901171267,5,0,39,2,1,0
343,71859,39274,4,25808,1,3036,3072,3006,3031,3508,3156,20,9,8,8021,9101,9104,8017,8345,8347,21,4,42,2,0,24,16709,42,498,2816,3.111111111111111,46.93333333333333,549.8863636363636,7.308238636363637,1531.0866477272727,0.5113636363636364,2.784369187848729,1.8296837602485103,6,2,42,0,5,1
24,10261,28666,5,8576,1,2055,3107,3170,1029,3869,3190,1,8,19,8439,8463,8473,8242,8347,8306,14,4,12,0,0,56,16721,12,498,1786,2.5,29.766666666666666,288.1075027995521,0.8062709966405376,344.7144456886898,1.8812989921612544,1.1964785447761197,0.3579501848880206,6,0,12,1,0,0
23,7899,12976,0,4688,0,3871,3009,3118,0,0,0,0,7,4,8128,8126,8140,8106,8236,8210,4,3,17,0,0,22,97116,17,3562,1262,0.5714285714285714,21.03333333333333,222.8843106180665,1.0935023771790808,375.5467511885895,1.045958795562599,1.684940273037543,0.6087392108508015,3,0,17,0,0,0
197,24602,29016,6,12272,1,6673,3172,3153,3082,0,1018,5,8,9,8008,9101,9104,8299,8451,8473,4,12,777,0,0,19,11173,777,325,1824,1.75,30.4,403.6842105263158,6.480263157894737,809.2763157894738,0.625,2.0047262059973923,0.8478770333609044,5,0,777,2,1,0
